Tabela 2.1 - Rendimento domiciliar per capita médio e mediano, por sexo e cor ou raça, segundo as Grandes Regiões, as Unidades da Federação e os Municípios das Capitais - Brasil - 2024;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Grandes Regiões, Unidades da Federação e Municípios das Capitais;Rendimento domiciliar per capita das pessoas (R$);;;;;;;;;;;;;;;;;;;;;
;Total;;Sexo;;;;Cor ou raça ;;;;;;;;Sexo e cor ou raça;;;;;;;
;;;Homem;;Mulher;;Branca;;Parda;;Preta;;Preta ou parda;;Homem branco;;Homem preto ou pardo;;Mulher branca;;Mulher preta ou parda;
;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano
São Paulo;  2 582 ;  1 660 ;  2 661 ;  1 695 ;  2 506 ;  1 627 ;  3 088 ;  1 932 ;  1 842 ;  1 394 ;  2 010 ;  1 477 ;  1 877 ;  1 410 ;  3 182 ;  1 951 ;  1 959 ;  1 458 ;  3 000 ;  1 924 ;  1 795 ;  1 376 
São Paulo;  3 499 ;  1 843 ;  3 690 ;  1 905 ;  3 321 ;  1 796 ;  4 477 ;  2 360 ;  2 147 ;  1 407 ;  2 333 ;  1 492 ;  2 194 ;  1 424 ;  4 740 ;  2 331 ;  2 315 ;  1 490 ;  4 238 ;  2 383 ;  2 080 ;  1 382 
Sul;  2 488 ;  1 682 ;  2 556 ;  1 725 ;  2 422 ;  1 642 ;  2 764 ;  1 856 ;  1 746 ;  1 358 ;  1 831 ;  1 437 ;  1 762 ;  1 389 ;  2 831 ;  1 881 ;  1 847 ;  1 420 ;  2 700 ;  1 826 ;  1 674 ;  1 326 
Paraná;  2 408 ;  1 587 ;  2 495 ;  1 631 ;  2 325 ;  1 521 ;  2 784 ;  1 795 ;  1 683 ;  1 326 ;  1 853 ;  1 478 ;  1 705 ;  1 350 ;  2 875 ;  1 830 ;  1 784 ;  1 405 ;  2 697 ;  1 764 ;  1 626 ;  1 302 
Curitiba;  4 169 ;  2 531 ;  4 296 ;  2 545 ;  4 052 ;  2 518 ;  4 695 ;  2 935 ;  2 643 ;  1 565 ;  2 529 ;  1 882 ;  2 622 ;  1 661 ;  4 845 ;  2 898 ;  2 780 ;  1 771 ;  4 564 ;  2 955 ;  2 463 ;  1 483 
Santa Catarina;  2 552 ;  1 812 ;  2 606 ;  1 856 ;  2 497 ;  1 778 ;  2 755 ;  1 953 ;  1 875 ;  1 422 ;  1 904 ;  1 508 ;  1 880 ;  1 434 ;  2 805 ;  1 973 ;  1 979 ;  1 489 ;  2 707 ;  1 925 ;  1 769 ;  1 395 
Florianópolis;  4 674 ;  2 870 ;  4 812 ;  2 957 ;  4 534 ;  2 842 ;  5 174 ;  3 393 ;  2 810 ;  1 880 ;  2 950 ;  1 565 ;  2 852 ;  1 786 ;  5 230 ;  3 325 ;  3 185 ;  1 890 ;  5 118 ;  3 458 ;  2 522 ;  1 702 
Rio Grande do Sul;  2 526 ;  1 692 ;  2 583 ;  1 739 ;  2 472 ;  1 654 ;  2 752 ;  1 827 ;  1 764 ;  1 383 ;  1 783 ;  1 396 ;  1 769 ;  1 388 ;  2 810 ;  1 861 ;  1 849 ;  1 419 ;  2 697 ;  1 795 ;  1 688 ;  1 311 
Porto Alegre;  3 912 ;  2 349 ;  4 044 ;  2 399 ;  3 794 ;  2 256 ;  4 533 ;  2 698 ;  2 009 ;  1 431 ;  2 160 ;  1 545 ;  2 088 ;  1 494 ;  4 735 ;  2 955 ;  2 043 ;  1 495 ;  4 353 ;  2 587 ;  2 128 ;  1 491 
Centro-Oeste;  2 321 ;  1 471 ;  2 398 ;  1 524 ;  2 247 ;  1 425 ;  3 026 ;  1 799 ;  1 932 ;  1 389 ;  1 921 ;  1 375 ;  1 930 ;  1 386 ;  3 111 ;  1 832 ;  2 016 ;  1 424 ;  2 948 ;  1 768 ;  1 846 ;  1 326 
Mato Grosso do Sul;  2 114 ;  1 440 ;  2 153 ;  1 481 ;  2 077 ;  1 423 ;  2 616 ;  1 705 ;  1 717 ;  1 296 ;  1 992 ;  1 497 ;  1 752 ;  1 330 ;  2 657 ;  1 790 ;  1 824 ;  1 393 ;  2 581 ;  1 659 ;  1 681 ;  1 257 
Campo Grande;  2 414 ;  1 571 ;  2 438 ;  1 628 ;  2 393 ;  1 497 ;  3 074 ;  1 932 ;  1 822 ;  1 359 ;  2 134 ;  1 574 ;  1 868 ;  1 407 ;  3 102 ;  2 013 ;  1 933 ;  1 450 ;  3 049 ;  1 850 ;  1 810 ;  1 333 
Mato Grosso;  2 245 ;  1 608 ;  2 322 ;  1 663 ;  2 170 ;  1 552 ;  2 897 ;  1 885 ;  1 948 ;  1 480 ;  2 055 ;  1 553 ;  1 964 ;  1 494 ;  2 920 ;  1 958 ;  2 066 ;  1 574 ;  2 876 ;  1 845 ;  1 865 ;  1 425 
Cuiabá;  2 832 ;  1 676 ;  2 982 ;  1 745 ;  2 695 ;  1 560 ;  4 415 ;  2 904 ;  2 276 ;  1 483 ;  2 273 ;  1 517 ;  2 275 ;  1 505 ;  4 570 ;  2 975 ;  2 444 ;  1 570 ;  4 273 ;  2 859 ;  2 121 ;  1 424 
Goiás;  2 051 ;  1 402 ;  2 137 ;  1 424 ;  1 967 ;  1 370 ;  2 618 ;  1 617 ;  1 765 ;  1 325 ;  1 650 ;  1 186 ;  1 747 ;  1 297 ;  2 758 ;  1 648 ;  1 811 ;  1 373 ;  2 488 ;  1 589 ;  1 683 ;  1 225 
Goiânia;  2 930 ;  1 798 ;  3 096 ;  1 925 ;  2 772 ;  1 749 ;  3 606 ;  2 185 ;  2 421 ;  1 648 ;  2 208 ;  1 556 ;  2 385 ;  1 625 ;  3 871 ;  2 241 ;  2 463 ;  1 700 ;  3 362 ;  2 099 ;  2 308 ;  1 562 
Distrito Federal;  3 281 ;  1 788 ;  3 392 ;  1 905 ;  3 178 ;  1 700 ;  4 443 ;  2 446 ;  2 565 ;  1 506 ;  2 361 ;  1 471 ;  2 530 ;  1 497 ;  4 537 ;  2 595 ;  2 681 ;  1 632 ;  4 359 ;  2 349 ;  2 387 ;  1 415 
Brasília;  3 281 ;  1 788 ;  3 392 ;  1 905 ;  3 178 ;  1 700 ;  4 443 ;  2 446 ;  2 565 ;  1 506 ;  2 361 ;  1 471 ;  2 530 ;  1 497 ;  4 537 ;  2 595 ;  2 681 ;  1 632 ;  4 359 ;  2 349 ;  2 387 ;  1 415 
;;;;;;;;;;;;;;;;;;;;;;
Fonte: IBGE. Pesquisa Nacional por Amostra de Domicílios Contínua, 2024, acumulado de primeiras visitas.;;;;;;;;;;;;;;;;;;;;;;
Notas: Exclusive as pessoas cuja condição no arranjo domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.;;;;;;;;;;;;;;;;;;;;;;
Rendimentos deflacionados para reais médios de 2024.;;;;;;;;;;;;;;;;;;;;;;
